onset	duration	trial_type	value	sample
13.568	0.0	ExperimentEnds	15	106
39.68	0.0	Tapping/Left	2	310
61.056	0.0	Tapping/Left	2	477
85.76	0.0	Tapping/Right	3	670
116.608	0.0	Control	1	911
148.864	0.0	Control	1	1163
177.152	0.0	Tapping/Right	3	1384
196.864	0.0	Tapping/Left	2	1538
228.992	0.0	Tapping/Right	3	1789
256.384	0.0	Tapping/Left	2	2003
278.784	0.0	Tapping/Right	3	2178
299.136	0.0	Tapping/Right	3	2337
319.104	0.0	Tapping/Right	3	2493
343.68	0.0	Tapping/Right	3	2685
362.88	0.0	Control	1	2835
393.856	0.0	Control	1	3077
419.84	0.0	Tapping/Right	3	3280
441.472	0.0	Tapping/Left	2	3449
465.28	0.0	Tapping/Left	2	3635
496.0	0.0	Control	1	3875
519.808	0.0	Control	1	4061
538.88	0.0	Tapping/Right	3	4210
568.192	0.0	Tapping/Left	2	4439
591.104	0.0	Tapping/Right	3	4618
621.696	0.0	Control	1	4857
640.768	0.0	Tapping/Left	2	5006
666.368	0.0	Control	1	5206
687.744	0.0	Tapping/Left	2	5373
718.08	0.0	Control	1	5610
750.592	0.0	Tapping/Right	3	5864
769.792	0.0	Tapping/Left	2	6014
795.136	0.0	Control	1	6212
819.712	0.0	Tapping/Right	3	6404
839.68	0.0	Tapping/Right	3	6560
872.704	0.0	Tapping/Right	3	6818
899.584	0.0	Tapping/Right	3	7028
924.288	0.0	Tapping/Right	3	7221
948.736	0.0	Tapping/Left	2	7412
978.304	0.0	Tapping/Left	2	7643
1006.592	0.0	Tapping/Right	3	7864
1032.064	0.0	Tapping/Left	2	8063
1057.536	0.0	Tapping/Left	2	8262
1086.08	0.0	Tapping/Right	3	8485
1115.52	0.0	Tapping/Left	2	8715
1140.352	0.0	Control	1	8909
1167.872	0.0	Control	1	9124
1193.216	0.0	Tapping/Left	2	9322
1218.56	0.0	Tapping/Left	2	9520
1237.888	0.0	Tapping/Left	2	9671
1269.376	0.0	Control	1	9917
1289.216	0.0	Control	1	10072
1320.064	0.0	Control	1	10313
1347.456	0.0	Control	1	10527
1375.488	0.0	Tapping/Right	3	10746
1401.472	0.0	Tapping/Left	2	10949
1424.256	0.0	Tapping/Left	2	11127
1452.544	0.0	Tapping/Right	3	11348
1483.136	0.0	Tapping/Right	3	11587
1503.616	0.0	Tapping/Right	3	11747
1531.648	0.0	Tapping/Left	2	11966
1559.04	0.0	Tapping/Left	2	12180
1579.52	0.0	Control	1	12340
1611.264	0.0	Control	1	12588
1637.248	0.0	Control	1	12791
1668.864	0.0	Control	1	13038
1690.368	0.0	Tapping/Right	3	13206
1723.264	0.0	Tapping/Left	2	13463
1744.512	0.0	Tapping/Left	2	13629
1775.744	0.0	Tapping/Left	2	13873
1799.808	0.0	Control	1	14061
1826.176	0.0	Control	1	14267
1858.816	0.0	Tapping/Right	3	14522
1880.32	0.0	Tapping/Right	3	14690
1912.064	0.0	Tapping/Right	3	14938
1944.704	0.0	Control	1	15193
1975.552	0.0	Control	1	15434
2002.176	0.0	Control	1	15642
2026.752	0.0	Tapping/Right	3	15834
2059.264	0.0	Tapping/Right	3	16088
2087.936	0.0	Tapping/Left	2	16312
2112.512	0.0	Tapping/Left	2	16504
2145.28	0.0	Tapping/Right	3	16760
2176.0	0.0	Control	1	17000
2201.728	0.0	Control	1	17201
2221.056	0.0	Control	1	17352
2254.848	0.0	Tapping/Left	2	17616
2279.552	0.0	Tapping/Left	2	17809
2306.432	0.0	Control	1	18019
2330.112	0.0	Tapping/Left	2	18204
2359.808	0.0	Control	1	18436
2379.648	0.0	Tapping/Right	3	18591
2399.488	0.0	ExperimentEnds	15	18746
